cve,snyk link,scantist link,Completed,Unsure flag,Comment
CVE-2020-36181,https://security.snyk.io/search?type=any&q=CVE-2020-36181,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36181,TRUE,FALSE,
CVE-2020-36180,https://security.snyk.io/search?type=any&q=CVE-2020-36180,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36180,TRUE,FALSE,
CVE-2020-36179,https://security.snyk.io/search?type=any&q=CVE-2020-36179,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-36179,TRUE,FALSE,
CVE-2020-35728,https://security.snyk.io/search?type=any&q=CVE-2020-35728,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-35728,TRUE,FALSE,
CVE-2020-35491,https://security.snyk.io/search?type=any&q=CVE-2020-35491,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-35491,TRUE,FALSE,
CVE-2020-35490,https://security.snyk.io/search?type=any&q=CVE-2020-35490,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-35490,TRUE,FALSE,
CVE-2020-29204,https://security.snyk.io/search?type=any&q=CVE-2020-29204,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-29204,TRUE,FALSE,
CVE-2020-28491,https://security.snyk.io/search?type=any&q=CVE-2020-28491,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-28491,TRUE,FALSE,
CVE-2020-27223,https://security.snyk.io/search?type=any&q=CVE-2020-27223,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-27223,TRUE,FALSE,
CVE-2020-27218,https://security.snyk.io/search?type=any&q=CVE-2020-27218,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-27218,TRUE,FALSE,
CVE-2020-27216,https://security.snyk.io/search?type=any&q=CVE-2020-27216,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-27216,TRUE,FALSE,
CVE-2020-26945,https://security.snyk.io/search?type=any&q=CVE-2020-26945,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-26945,TRUE,FALSE,
CVE-2020-26259,https://security.snyk.io/search?type=any&q=CVE-2020-26259,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-26259,TRUE,FALSE,
CVE-2020-26258,https://security.snyk.io/search?type=any&q=CVE-2020-26258,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-26258,TRUE,FALSE,
CVE-2020-26217,https://security.snyk.io/search?type=any&q=CVE-2020-26217,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-26217,TRUE,FALSE,
CVE-2020-25649,https://security.snyk.io/search?type=any&q=CVE-2020-25649,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-25649,TRUE,FALSE,
CVE-2020-24750,https://security.snyk.io/search?type=any&q=CVE-2020-24750,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-24750,TRUE,FALSE,
CVE-2020-24616,https://security.snyk.io/search?type=any&q=CVE-2020-24616,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-24616,TRUE,FALSE,
CVE-2020-23814,https://security.snyk.io/search?type=any&q=CVE-2020-23814,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-23814,TRUE,FALSE,
CVE-2020-23811,https://security.snyk.io/search?type=any&q=CVE-2020-23811,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-23811,TRUE,FALSE,
CVE-2020-21125,https://security.snyk.io/search?type=any&q=CVE-2020-21125,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-21125,TRUE,FALSE,
CVE-2020-21124,https://security.snyk.io/search?type=any&q=CVE-2020-21124,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-21124,TRUE,FALSE,
CVE-2020-21122,https://security.snyk.io/search?type=any&q=CVE-2020-21122,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-21122,TRUE,FALSE,
CVE-2020-19676,https://security.snyk.io/search?type=any&q=CVE-2020-19676,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-19676,TRUE,FALSE,
CVE-2020-1957,https://security.snyk.io/search?type=any&q=CVE-2020-1957,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-1957,TRUE,FALSE,
CVE-2020-1953,https://security.snyk.io/search?type=any&q=CVE-2020-1953,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-1953,TRUE,FALSE,
CVE-2020-1945,https://security.snyk.io/search?type=any&q=CVE-2020-1945,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-1945,TRUE,FALSE,
CVE-2020-1926,https://security.snyk.io/search?type=any&q=CVE-2020-1926,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-1926,TRUE,FALSE,
CVE-2020-17523,https://security.snyk.io/search?type=any&q=CVE-2020-17523,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-17523,TRUE,FALSE,
CVE-2020-17521,https://security.snyk.io/search?type=any&q=CVE-2020-17521,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-17521,TRUE,FALSE,
CVE-2020-17510,https://security.snyk.io/search?type=any&q=CVE-2020-17510,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-17510,TRUE,FALSE,
CVE-2020-1745,https://security.snyk.io/search?type=any&q=CVE-2020-1745,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-1745,TRUE,FALSE,
